year,years_passed,total_nonref,CI_incl_nonref,total_ref,CI_incl_ref,total_dif
2020,0,1008,1008,1668,1668,660
2021,1,1008,987.84,1668,1634.6399999999999,660
2022,2,2016,1936.1663999999998,3336,3203.8943999999997,1320
2023,3,3024,2846.1646079999996,5004,4709.724768,1980
2024,4,4032,3718.9884211199997,6672,6154.040363519999,2640
2025,5,5040,4555.7608158719995,8340,7538.699445312,3300
2026,6,6048,5357.574719465471,10008,8865.51054768691,3960
2027,7,7056,6125.493762588856,11676,10136.233726188702,4620
2028,8,8064,6860.553014099518,13344,11352.581773331345,5280
2029,9,9072,7563.759698044719,15012,12516.22140509781,5940
2030,10,10080,8236.09389342647,16680,13628.774418884279,6600
2031,11,11088,8878.509217113737,18348,14691.818823557254,7260
2032,12,12096,9491.933490296138,20016,15706.889942275753,7920
2033,13,13104,10077.2693888644,21684,16675.48148871609,8580
2034,14,14112,10635.395078093812,23352,17599.046617321907,9240
2035,15,15120,11167.164831998505,25020,18478.998948188004,9900
2036,16,16128,11673.40963771577,26688,19316.713567172523,10560
2037,17,17136,12154.937785271544,28356,20113.528001818388,11220
2038,18,18144,12612.53544307,30024,20870.74317365155,11880
2039,19,19152,13046.967219442413,31692,21589.62432741066,12540
2040,20,20160,13458.9767105827,33360,22271.401937749943,13200
2041,21,21168,13849.287035189596,35028,22917.27259394469,13860
2042,22,22176,14218.601356127987,36696,23528.39986311655,14520
2043,23,23184,14567.603389414766,38364,24105.91513248396,15180
2044,24,24192,14896.957900827621,40032,24650.91843113142,15840
2045,25,25200,15207.311190428196,41700,25164.47923177999,16500
2046,26,26208,15499.291565284417,43368,25647.637233030167,17160
2047,27,27216,15773.509800670216,45036,26101.40312253762,17820
2048,28,28224,16030.55959001447,46704,26526.759321571568,18480
2049,29,29232,16271.017983864689,48372,26924.66071139514,19140
2050,30,30240,16495.445818124892,50040,27296.035341897143,19800
2051,31,31248,16704.38813182114,51708,27641.785122894504,20460
2052,32,32256,16898.374574642286,53376,27962.786498515215,21120
2053,33,33264,17077.919804497862,55044,28259.89110506194,21780
2054,34,34272,17243.523875329356,56712,28533.92641274739,22440
2055,35,35280,17395.67261540579,58380,28785.696351683393,23100
2056,36,36288,17534.83799632904,60048,29015.98192249686,23760
2057,37,37296,17661.478492969192,61716,29225.541791937114,24420
2058,38,38304,17776.039434545208,63384,29415.11287383076,25080
2059,39,39312,17878.953347060997,65052,29585.410895731886,25740
2060,40,40320,17970.640287302333,66720,29737.130951607433,26400
